number,pk,distance,ugr,elevation
15,27263.121,5.000,134.232,35
16,27268.121,5.000,134.222,25
17,27273.121,5.000,134.212,15
18,27278.121,2.225,134.202,5
19,27280.376,5.000,134.198,0
20,27285.376,5.000,134.183,0
21,27290.376,5.000,134.168,0
22,27295.376,5.000,134.153,0
23,272100.376,1.621,134.138,0
24,273000.000,20.000,134.133,0
25,27320.000,19.787,134.073,0
26,27339.787,5.000,134.014,0
27,27344.787,5.000,133.999,0
28,27349.787,5.000,133.984,0
29,27354.787,5.000,133.969,0
30,27359.787,3.000,133.954,0
31,27362.787,2.099,133.947,5
32,27364.886,5.000,133.943,8
33,27369.886,5.000,133.930,17
34,27374.886,5.000,133.912,25
35,27379.886,5.000,133.889,33
36,27384.886,5.000,133.859,42
37,27389.886,5.000,133.826,50
38,27394.886,3.000,133.788,58
39,27397.886,2.114,133.763,63
40,27400.000,5.000,133.744,67
41,27405.000,5.000,133.696,75
42,27410.000,5.000,133.642,84
43,27415.000,4.787,133.583,92
44,27419.787,5.000,133.523,100
45,27424.787,5.000,133.450,100
46,27429.787,5.000,133.373,100
47,27434.787,5.000,133.291,100
48,27439.787,5.000,133.203,100
49,27444.787,5.000,133.111,100
50,27449.787,5.000,133.014,100
51,27454.787,2.599,132.911,100
























































































































































































































































































































































































































































